label,tweet
2,jami mccarthi dimitrio kambouri
1,proud join year mission call speak
2,thank share stori need we'r almost goal pleas consid
2,can't believ soundtrack shallow number week proud film
0,we'r halfway goal pleas consid contribut celebr year part what'
1,intro astound perform shallow' annual
1,celebr anniversari we'r proud work young peopl build kinder braver
0,jackson alli merch special price limit time
2,celebr star born encor offici soundtrack today
2,film everyon talk return theater experi encor week
1,moment life never forget whole artist journey flash eye thank
2,noth could special share moment oscar true friend artist geniu
2,happi valentine' tattoo toast rose beauti winterston spinal cord
0,music crisi avert mani tequila forgot fifth staff line poor thing here' real deal
0,hard woman industri take hard work disrespect challeng
1,feel ultim gratitud deepli support love women
2,grammi joann famili could ever dream sang version take pour
2,gonna abl wear makeup tonight first grammi nomin night
1,can't believ best origin music wish much grammy'
1,last enigma vega show till last night feel like show built perform
1,wonder even weekend celebr famili dimitrio
1,thank beauti review jazz piano show vega jazz
2,follow along travel around vega visit local nonprofit
1,thank honor kevin mazur kopaloff
1,ladi gaga' emot accept speech tie best actress
0,stand anyon ever victim sexual assault
1,thank much nation board review honor humbl best actress
1,congratul anthoni rossomando andrew wyatt win award best origin song
2,shallow take home best origin song
1,beyond grate golden globe honor anthoni
1,holiday season need give love kind commun believ kind
1,honor recogn actress alongsid bradley elliot complet
2,trend drama movi bradley cooper trend actor
1,nomin award includ best pictur best director best actor best
1,ladi gaga jazz piano engag ad popular demand park theater park resort littl
2,experi week stay tune exclus look make film
1,keep sister joann keep mine love much
2,congratul true artist musician bradley cooper nomin alongsid
0,ladi gaga shallow reson mani women convers woman actual
2,grown industri togeth we'v gone celebr differ
1,thank acknowledg hard work honor congratul bradley
1,thank incred power women opportun speak learn thank
1,support help creat kinder braver world
0,still play middl chapter xiii hand hurt sleep damn
0,happi thanksgiv everyon grate famili friend love one extra grate
2,step away game minut collect middl chapter
1,bono team special experi give lucki winner song written legendari
1,playlist reminisc rock roll day lower east side classic great
2,incred album also featur version
2,special collector' edit soundtrack avail order
2,help peopl affect visit call cross text
2,think veteran serv countri hope wish
1,grate love bless firefight first respond continu fight
1,thank fire fighter polic first emerg respond beyond everyth
0,think deepli everyon suffer today abomin fire griev loss
2,line stay line everi vote count
1,knew want album misunderstood felt like perfect song
2,beat chapter bayonetta realiz chapter go kick secret
2,i'll alway rememb vertic video live
2,halloween everyday take night ladi gentlemen chia pet
2,thing creat piec photo worthi experi first
1,thank much australian fan make shallow bless
0,doubt i'v call lowest darkest moment know
1,sister best friend lisa miller incred friend sister confid
2,today might feel unheard unseen know realiti human anoth
2,govern live altern univers societi cultur know know
1,i'll never love music video tomorrow
0,listen shallow alway rememb look found
2,woman condit young listen told decid today want
0,ladi gaga open sexual assault mental health vulner ell women hollywood accept speech
1,believ help build commun understand respect
0,loss word hear death littl monster logan i'v known year follow
1,tonight thank special interview
2,save soundtrack immedi librari come
2,talk thing tomorrow listen friday
1,tell someth girl happi modern world need someth els
1,dream come true london premier first film proud
0,shallow world record tomorrow morn
1,proud mother speak today behalf let' make mental health global
2,creat jackson maine' sound theater octob
2,watch live tonight stori teach lesson connect remind kinder
0,today join hand memori live lost trauma effect famili
1,septemb never forget long live remind moment like
1,special share experi cast crew fan world thank much
2,we'r day venic york angel overwhelm action
1,late join pledg kind mind bodi commun septemb
1,we'r proud honor icon artist use platform give back good world harrison
1,ladi gaga venic today ahead premier oscar buzzworthi movi star born'
1,entir citi anaheim origin citi kind take challeng
2,built digit time capsul celebr entir
2,sunday we'r celebr weekend brought merch back includ
2,beauti music vocal artistri gave world legend soul never
2,ladi gaga enigma vega resid park theater plu exclus jazz piano engag sale
0,bradley cooper headlin fall movi preview megastar give scoop reimagin
1,ladi gaga enigma vega resid park theater plu exclus jazz piano engag prefer
2,we'r excit announc challeng today dive fall right kindli
2,ladi gaga enigma vega resid park theater plu exclus jazz piano engag littl
2,enigma vega resid arriv decemb includ jazz piano show ticket sale
0,littl monster sale jazz piano tomorrow sign
2,ladi gaga enigma vega resid plu exclus jazz piano engag littl
1,made monday accomplish week excit announc come
